SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Lower Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
122.2117,122.5110,122.5486,122.0544,-0.0257,0.6586,0.6843,87.4743,84.5074,55.9502,53.6650,20.8113,11.0134,81.0462,48.0379,0.0000,50.0000,35.0000,0.0000,119.8007,124.6226,127.6633,117.3587,477696057.0150,373350774.0000
122.3036,122.1152,122.3749,121.9201,-0.0681,0.6226,0.6907,87.6133,76.8504,54.2347,52.9341,20.2548,10.7653,63.3653,45.4934,0.0000,60.0000,40.0000,0.0000,119.6694,124.9379,128.1033,116.1272,474476696.4589,369699548.0000
122.6063,121.7132,122.2582,121.8170,-0.0964,0.6113,0.7077,78.4346,60.7072,56.4302,53.8295,20.0006,10.5802,34.5940,46.2998,0.0000,70.0000,45.0000,5.0000,119.1882,126.0245,128.4671,114.9594,471818927.9028,366282417.0000
122.8711,121.3185,122.0095,121.6527,-0.1924,0.5394,0.7318,64.5034,43.4293,53.3426,52.4413,19.7181,10.3853,-1.4890,41.4159,0.0000,80.0000,50.0000,10.0000,118.8912,126.8510,128.5435,114.0935,472608967.1563,369957817.0000
123.4853,121.0095,121.8981,121.5624,-0.2519,0.5281,0.7799,39.1836,27.5481,47.9323,50.1202,20.0734,10.3255,-72.7060,12.3330,10.0000,90.0000,55.0000,15.0000,118.2269,128.7437,128.5269,113.4920,469244882.8406,366526451.0000
123.7442,120.8849,122.0756,121.6111,-0.1933,0.6496,0.8429,26.6008,20.0099,42.0050,47.7476,21.6617,10.5070,-147.1434,-11.8883,20.0000,100.0000,60.0000,20.0000,118.7320,128.7565,128.4745,113.2953,466030395.0325,362999877.0000
124.0012,120.8085,122.5996,121.8105,0.0448,0.9360,0.8912,16.8598,15.0728,44.9727,49.1789,23.3714,10.9496,-160.6153,0.4471,30.0000,100.0000,65.0000,25.0000,119.6170,128.3854,128.4739,113.1430,461030514.1878,357722225.0000
124.0572,120.6783,123.0423,121.9371,0.3173,1.1973,0.8800,16.5691,17.8301,52.5987,52.5941,25.7572,11.3120,-49.6977,48.1286,40.0000,0.0000,70.0000,30.0000,119.8366,128.2778,128.4408,112.9158,460580743.3502,361710287.0000
123.8596,120.4452,123.1323,121.8634,0.5060,1.3067,0.8007,11.7895,25.6764,53.9814,53.1829,26.3462,11.2120,-39.3467,50.2030,50.0000,0.0000,75.0000,35.0000,119.2268,128.4925,128.2383,112.6520,459724898.6725,358877146.0000
123.3291,120.1259,123.1666,121.7460,0.7185,1.3927,0.6742,25.1319,38.4243,53.9191,53.1545,26.9098,11.0904,13.7758,70.4344,60.0000,10.0000,80.0000,40.0000,117.3847,129.2735,128.0006,112.2512,462682055.2030,363055322.0000
122.8103,119.7692,123.2128,121.6184,0.9895,1.4841,0.4946,40.1078,51.8699,58.6569,55.2715,26.9330,10.8508,41.4109,90.1685,70.0000,0.0000,85.0000,45.0000,115.9866,129.6341,127.7440,111.7943,459458682.3310,359321775.0000
121.9269,119.3586,122.9824,121.3414,1.2006,1.4478,0.2472,50.0331,63.4592,65.3800,58.1315,26.1110,10.4423,87.7909,137.0041,80.0000,0.0000,90.0000,50.0000,113.8963,129.9575,127.2131,111.5040,462035368.9946,362852851.0000
120.8201,118.8208,122.3279,120.8587,1.2625,1.2096,-0.0529,65.4689,77.9472,65.7735,58.2978,23.2920,9.6772,101.4954,166.1473,90.0000,10.0000,95.0000,55.0000,112.2665,129.3738,126.2648,111.3768,465571158.6169,367072987.0000
119.7659,118.5010,121.5064,120.3149,1.2466,0.8780,-0.3686,74.8757,86.9223,77.0422,62.9119,20.1598,8.8719,122.8178,212.0792,100.0000,20.0000,100.0000,60.0000,111.4426,128.0893,125.1910,111.8111,460948704.2287,358877621.0000
118.5336,118.0304,119.9183,119.4372,0.8546,0.1744,-0.6802,93.4970,92.7627,67.6079,56.7724,16.6796,8.0242,124.4074,203.6751,100.0000,30.0000,100.0000,65.0000,112.5058,124.5614,122.8643,113.1965,475051776.7822,374234300.0000
