SMA-10,SMA-20,EMA-10,EMA-20,MACD_Hist-10,MACD-10,MACD_Signal-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
123.6740,122.6963,123.3375,122.5377,-0.0168,1.0676,1.0844,18.2806,22.5104,52.3749,52.7817,26.8675,14.4982,-32.3565,19.4114,0.0000,50.0000,75.0000,40.0000,126.8446,120.5034,126.5391,118.8535,472863874.2811,368126107.0000
123.4004,122.9167,123.3545,122.4616,0.0566,1.1453,1.0887,17.9599,30.1174,53.2435,53.1587,27.4433,14.3074,-25.8180,11.6251,0.0000,60.0000,80.0000,45.0000,127.0951,119.7057,127.3276,118.5058,472635115.9481,365243752.0000
123.0710,122.8771,123.3205,122.3515,0.1281,1.2026,1.0745,31.2907,45.8689,50.1167,51.7847,27.8531,14.0635,-2.8946,16.9539,0.0000,70.0000,85.0000,50.0000,127.2273,118.9148,127.2803,118.4739,475801924.4909,368580211.0000
122.7683,122.8075,123.5091,122.3389,0.3213,1.3638,1.0425,41.1015,62.5601,55.7399,54.3221,28.3315,13.8117,33.2688,42.4138,10.0000,80.0000,90.0000,55.0000,127.4613,118.0753,127.2776,118.3374,473879975.5738,365616458.0000
122.3893,122.5679,123.3538,122.1421,0.4108,1.3729,0.9621,65.2144,80.2817,61.5688,56.8010,27.8320,13.3417,96.7091,108.7707,20.0000,90.0000,95.0000,60.0000,127.1675,117.6112,127.2221,117.9137,476033298.9051,368787716.0000
121.9304,122.2333,122.8026,121.7535,0.3395,1.1990,0.8595,81.3644,87.7016,65.8909,58.5707,25.8718,12.5775,172.9301,171.6570,30.0000,100.0000,100.0000,0.0000,126.1451,117.7157,126.8621,117.6046,476523908.6639,372317893.0000
121.4808,121.6581,121.8768,121.2045,0.0694,0.8440,0.7746,94.2661,89.7846,58.2254,54.6744,22.7192,11.5914,174.0783,122.8745,40.0000,100.0000,30.0000,5.0000,124.1111,118.8504,126.6363,116.6798,481162305.0558,377319069.0000
121.2670,121.3039,121.4772,120.9444,-0.0432,0.7140,0.7572,87.4743,84.5074,52.7292,52.2204,20.8113,11.0134,81.0462,48.0379,50.0000,0.0000,35.0000,0.0000,123.4605,119.0735,126.6518,115.9561,477696057.0150,373350774.0000
121.4003,120.8362,121.4095,120.8563,-0.0375,0.7305,0.7680,87.6133,76.8504,52.4078,52.0798,20.2548,10.7653,63.3653,45.4934,60.0000,0.0000,40.0000,0.0000,123.8496,118.9509,127.4271,114.2453,474476696.4589,369699548.0000
121.7994,120.4955,121.3507,120.7702,-0.0255,0.7519,0.7774,78.4346,60.7072,57.9368,54.4533,20.0006,10.5802,34.5940,46.2998,70.0000,0.0000,45.0000,5.0000,125.3499,118.2488,127.5650,113.4260,471818927.9028,366282417.0000
121.7186,120.0735,120.9047,120.4979,-0.1869,0.5969,0.7838,64.5034,43.4293,49.9418,50.8758,19.7181,10.3853,-1.4890,41.4159,80.0000,0.0000,50.0000,10.0000,125.1587,118.2785,127.4117,112.7354,472608967.1563,369957817.0000
