SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Lower Band-10-10,Real Middle Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
147.1503,147.0997,147.2707,146.7423,0.0096,0.7208,0.7112,52.7132,53.4591,60.8003,56.5852,12.0377,7.0015,125.8398,77.6959,10.0000,70.0000,5.0000,45.0000,148.7319,145.5688,149.5563,144.6432,1035858554.2996,854314522.0000
146.9096,147.1042,147.0644,146.5890,-0.0355,0.6733,0.7088,58.4841,54.6319,55.3750,54.3749,12.6905,7.2848,49.0127,21.7820,0.0000,80.0000,10.0000,50.0000,148.5120,145.3072,149.5690,144.6394,1036857427.3407,850152551.0000
146.7232,147.1653,147.0074,146.5119,-0.0254,0.6923,0.7177,49.1800,53.2830,54.4180,54.0000,13.4767,7.5054,46.8682,7.0085,10.0000,90.0000,15.0000,55.0000,148.5136,144.9327,149.7081,144.6226,1037917474.5894,845912362.0000
146.5564,147.1727,146.9706,146.4423,-0.0025,0.7215,0.7241,56.2318,60.2236,62.9180,57.1218,14.1224,7.6957,132.1877,65.2006,20.0000,100.0000,20.0000,60.0000,148.4555,144.6574,149.7164,144.6291,1040153576.4242,851067819.0000
146.2832,147.1713,146.6954,146.2564,-0.0818,0.6429,0.7247,54.4371,67.0044,57.1196,54.7303,14.8400,7.8960,18.4277,-40.7616,30.0000,60.0000,25.0000,65.0000,147.9209,144.6454,149.7125,144.6300,1037113422.9958,845809692.0000
146.1609,147.1298,146.5806,146.1558,-0.1106,0.6346,0.7451,70.0020,74.9932,55.7636,54.2017,14.2210,7.8374,91.8741,9.0214,40.0000,70.0000,30.0000,0.0000,147.6812,144.6405,149.6940,144.5657,1040821369.0599,852198081.0000
146.1520,147.0129,146.4884,146.0674,-0.1359,0.6369,0.7728,76.5741,79.6845,53.6027,53.3550,15.0018,8.0954,96.0647,10.2059,50.0000,0.0000,35.0000,0.0000,147.6537,144.6503,149.7949,144.2310,1042949070.9193,856294701.0000
146.3443,146.7278,146.4546,146.0071,-0.1401,0.6667,0.8068,78.4037,76.9961,57.8408,54.9639,15.3750,8.2737,47.9355,5.0063,60.0000,0.0000,40.0000,0.0000,148.4273,144.2614,150.5705,142.8852,1039556337.9827,852659630.0000
146.5022,146.4901,146.2818,145.8781,-0.2070,0.6348,0.8418,84.0758,66.1290,58.2553,55.1218,15.7896,8.4615,71.9325,44.1123,70.0000,10.0000,45.0000,5.0000,149.0234,143.9810,150.7448,142.2354,1040699833.3482,857497495.0000
146.6102,146.1981,146.0575,145.7293,-0.3148,0.5788,0.8936,68.5090,45.1172,46.1582,50.4072,17.4811,8.8567,-52.9579,-12.9316,80.0000,0.0000,50.0000,10.0000,149.3413,143.8792,150.9637,141.4325,1041827575.5741,852004299.0000
147.0492,146.0378,146.2414,145.7819,-0.2634,0.7088,0.9723,45.8024,25.4788,49.6929,51.8175,16.7252,8.8530,-43.5437,6.0775,90.0000,10.0000,55.0000,15.0000,150.1391,143.9593,151.1276,140.9480,1037665421.5741,856166453.0000
147.2988,145.8395,146.3413,145.7809,-0.2309,0.8072,1.0381,21.0403,12.2599,47.5361,51.0413,16.1906,8.9208,-120.3533,-28.1515,100.0000,20.0000,60.0000,0.0000,150.3450,144.2525,151.2510,140.4281,1035774803.4061,852086698.0000
147.6075,145.5628,146.5379,145.8150,-0.1406,0.9553,1.0958,9.5939,8.8126,47.8074,51.1564,15.1195,8.9068,-98.3428,9.3122,90.0000,30.0000,65.0000,0.0000,150.4643,144.7507,151.5587,139.5669,1035514522.6987,860344695.0000
147.7890,145.2614,146.7673,145.8476,-0.0057,1.1253,1.1310,6.1456,14.0833,47.6460,51.0935,16.0398,9.3754,-133.7850,12.2668,100.0000,40.0000,70.0000,0.0000,150.2981,145.2800,151.8182,138.7047,1035340332.0763,854422214.0000
148.0593,144.9433,147.0542,145.8867,0.1966,1.3290,1.1324,10.6985,27.1790,50.0600,52.2002,17.0247,9.8621,-147.9021,28.1877,0.0000,50.0000,75.0000,5.0000,150.0404,146.0783,152.0240,137.8626,1036815337.5165,858911361.0000
148.0988,144.5344,147.2908,145.8759,0.4341,1.5173,1.0833,25.4058,42.9606,54.5049,54.1946,18.8350,10.2335,-108.6947,42.5009,0.0000,60.0000,80.0000,0.0000,149.9228,146.2748,152.2430,136.8259,1041032723.5805,863753545.0000
147.8739,144.0747,147.3762,145.7674,0.6676,1.6423,0.9747,45.4327,57.7847,63.7005,57.9974,20.8965,10.6000,-5.7005,65.0080,0.0000,70.0000,85.0000,5.0000,150.5745,145.1733,152.2453,135.9041,1044944723.6268,869428700.0000
147.1113,143.5800,147.1123,145.4730,0.8013,1.6092,0.8079,58.0431,67.7574,65.1731,58.5785,23.0266,10.9493,64.5745,95.5217,0.0000,80.0000,90.0000,10.0000,152.0121,142.2106,151.8014,135.3586,1047049528.9863,874834567.0000
146.4780,143.1528,146.7349,145.1217,0.9108,1.5184,0.6075,69.8784,76.6092,63.8337,57.8646,23.0521,10.8137,57.7869,99.5387,10.0000,90.0000,95.0000,15.0000,151.9413,141.0147,151.1268,135.1788,1050855455.6074,881400836.0000
145.7860,142.8409,146.3712,144.7796,1.0453,1.4251,0.3798,75.3508,81.3128,70.8000,60.6892,23.4088,10.7509,87.3757,133.2665,20.0000,100.0000,100.0000,20.0000,151.8362,139.7358,150.4538,135.2279,1046772680.4028,875490643.0000
