SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Upper Band-10-10,Real Lower Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
148.7209,146.8724,148.9669,147.4726,0.3830,1.7850,1.4020,86.1020,91.1645,72.7893,64.1448,25.1507,10.0950,95.7637,133.1281,0.0000,100.0000,100.0000,0.0000,152.0372,145.4046,151.3556,142.3893,1061179117.3822,898554706.0000
148.1953,146.4310,148.5504,147.1180,0.3940,1.7003,1.3063,83.2829,84.6508,72.7551,64.1260,23.7110,9.5774,96.0454,142.5635,0.0000,100.0000,100.0000,5.0000,151.6635,144.7270,151.0017,141.8604,1056143145.6440,893159022.0000
147.6657,146.0977,148.0435,146.7271,0.3607,1.5684,1.2078,84.5609,82.4905,68.2704,61.7452,22.5726,9.1446,85.1860,137.8681,0.0000,90.0000,95.0000,10.0000,150.9760,144.3554,150.2931,141.9023,1052846722.3392,887583590.0000
147.2563,145.8230,147.6999,146.4258,0.3861,1.5037,1.1176,84.8637,82.7075,76.3713,64.6643,21.9779,8.8459,123.9194,175.6709,0.0000,100.0000,100.0000,15.0000,150.5258,143.9868,149.7806,141.8653,1047627387.7465,879575298.0000
146.6476,145.5373,147.0824,145.9992,0.2877,1.3088,1.0211,86.3126,88.4848,72.4801,62.4302,19.3677,8.2098,140.2416,197.5566,10.0000,100.0000,100.0000,20.0000,149.5351,143.7600,148.8877,142.1870,1048848095.4657,883438775.0000
146.2897,145.3160,146.5892,145.6515,0.2116,1.1607,0.9492,82.6914,83.3989,69.6189,60.9394,16.6130,7.5805,173.8850,225.7274,20.0000,100.0000,100.0000,25.0000,148.6026,143.9768,148.1939,142.4380,1046629533.1703,878050838.0000
145.9503,145.1404,146.1526,145.3460,0.1347,1.0310,0.8963,78.2880,87.0542,65.1220,58.7994,13.7670,6.9789,145.6206,183.7762,30.0000,100.0000,100.0000,30.0000,147.7800,144.1207,147.6055,142.6752,1043817526.4902,871328079.0000
145.6499,145.1273,145.8478,145.1167,0.0927,0.9553,0.8626,66.8410,77.6210,64.0882,58.3307,12.6696,6.8588,161.3491,165.7576,40.0000,100.0000,100.0000,35.0000,147.3277,143.9720,147.5439,142.7106,1039709594.9826,866453340.0000
145.4999,145.0548,145.5249,144.8868,0.0281,0.8675,0.8394,60.4620,70.1887,60.5950,56.7786,11.4502,6.7324,149.2047,115.4372,0.0000,60.0000,0.0000,40.0000,146.7820,144.2179,147.2860,142.8235,1040124617.1601,858637089.0000
145.2291,145.1006,145.2945,144.7105,-0.0142,0.8181,0.8324,53.4591,52.7132,58.9665,56.0740,12.0377,7.0015,125.8398,77.6959,10.0000,70.0000,5.0000,45.0000,146.6378,143.8204,147.4863,142.7150,1035858554.2996,854314522.0000
145.0239,145.1105,145.0875,144.5510,-0.0586,0.7774,0.8360,54.6319,58.4841,55.8254,54.7336,12.6905,7.2848,49.0127,21.7820,0.0000,80.0000,10.0000,50.0000,146.3891,143.6588,147.5163,142.7047,1036857427.3407,850152551.0000
144.6668,145.1652,144.9770,144.4422,-0.0712,0.7793,0.8506,53.2830,49.1800,55.5900,54.6325,13.4767,7.5054,46.8682,7.0085,10.0000,90.0000,15.0000,55.0000,146.8696,142.4640,147.6599,142.6706,1037917474.5894,845912362.0000
144.5297,145.1233,144.8529,144.3271,-0.0929,0.7755,0.8684,60.2236,56.2318,55.4190,54.5553,14.1224,7.6957,132.1877,65.2006,20.0000,100.0000,20.0000,60.0000,146.6689,142.3905,147.6198,142.6268,1040153576.4242,851067819.0000
144.3896,145.1598,144.7100,144.2040,-0.1282,0.7634,0.8916,67.0044,54.4371,50.6279,52.4011,14.8400,7.8960,18.4277,-40.7616,30.0000,60.0000,25.0000,65.0000,146.4390,142.3403,147.6981,142.6216,1037113422.9958,845809692.0000
144.4271,145.1051,144.7809,144.1843,-0.0744,0.8493,0.9237,74.9932,70.0020,57.3093,55.4086,14.2210,7.8374,91.8741,9.0214,40.0000,70.0000,30.0000,0.0000,146.4889,142.3653,147.7522,142.4580,1040821369.0599,852198081.0000
144.3423,144.8861,144.5716,144.0224,-0.1313,0.8110,0.9423,79.6845,76.5741,55.0554,54.3579,15.0018,8.0954,96.0647,10.2059,50.0000,0.0000,35.0000,0.0000,146.2477,142.4369,147.9796,141.7926,1042949070.9193,856294701.0000
144.3304,144.6039,144.4407,143.9026,-0.1675,0.8076,0.9751,76.9961,78.4037,52.4804,53.1623,15.3750,8.2737,47.9355,5.0063,60.0000,0.0000,40.0000,0.0000,146.2167,142.4441,148.4769,140.7310,1039556337.9827,852659630.0000
144.6047,144.3119,144.4232,143.8376,-0.1603,0.8567,1.0170,66.1290,84.0758,58.5147,55.9469,15.7896,8.4615,71.9325,44.1123,70.0000,10.0000,45.0000,5.0000,147.1893,142.0201,148.9678,139.6560,1040699833.3482,857497495.0000
144.6096,144.0111,144.1169,143.6309,-0.2807,0.7764,1.0571,45.1172,68.5090,50.7746,52.3436,17.4811,8.8567,-52.9579,-12.9316,80.0000,0.0000,50.0000,10.0000,147.2035,142.0157,149.0082,139.0139,1041827575.5741,852004299.0000
