SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Upper Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
121.9374,121.9589,122.5740,121.5705,0.2311,1.1910,0.9600,94.2661,89.7846,66.7362,58.6038,22.7192,11.5914,174.0783,122.8745,40.0000,100.0000,30.0000,5.0000,125.1756,118.6991,125.7294,118.1884,481162305.0558,377319069.0000
121.6884,121.4932,121.9590,121.1736,0.0785,0.9807,0.9022,87.4743,84.5074,59.7711,55.3971,20.8113,11.0134,81.0462,48.0379,50.0000,0.0000,35.0000,0.0000,124.1250,119.2518,125.7472,117.2393,477696057.0150,373350774.0000
121.6105,121.0922,121.6785,120.9580,0.0312,0.9138,0.8826,87.6133,76.8504,58.0658,54.6773,20.2548,10.7653,63.3653,45.4934,60.0000,0.0000,40.0000,0.0000,123.8910,119.3301,126.0696,116.1148,474476696.4589,369699548.0000
121.7283,120.5855,121.4372,120.7679,-0.0130,0.8617,0.8748,78.4346,60.7072,55.6540,53.6647,20.0006,10.5802,34.5940,46.2998,70.0000,0.0000,45.0000,5.0000,124.3334,119.1232,126.7098,114.4613,471818927.9028,366282417.0000
122.0417,120.2088,121.2873,120.6265,-0.0289,0.8491,0.8780,64.5034,43.4293,57.3830,54.3360,19.7181,10.3853,-1.4890,41.4159,80.0000,0.0000,50.0000,10.0000,125.4010,118.6824,126.8188,113.5988,472608967.1563,369957817.0000
122.0631,119.8068,121.0198,120.4302,-0.1032,0.7821,0.8853,39.1836,27.5481,52.1325,52.1030,20.0734,10.3255,-72.7060,12.3330,90.0000,10.0000,55.0000,15.0000,125.4363,118.6900,126.7806,112.8331,469244882.8406,366526451.0000
122.2637,119.6063,121.0237,120.3699,-0.0743,0.8367,0.9111,26.6008,20.0099,46.8562,50.0242,21.6617,10.5070,-147.1434,-11.8883,100.0000,20.0000,60.0000,20.0000,125.5989,118.9284,126.6612,112.5514,466030395.0325,362999877.0000
122.4749,119.4486,121.3248,120.4438,0.1004,1.0301,0.9296,16.8598,15.0728,46.7018,49.9640,23.3714,10.9496,-160.6153,0.4471,100.0000,30.0000,65.0000,25.0000,125.3637,119.5861,126.6308,112.2665,461030514.1878,357722225.0000
122.5829,119.2364,121.7015,120.5295,0.3613,1.2659,0.9045,16.5691,17.8301,55.4768,53.6829,25.7572,11.3120,-49.6977,48.1286,0.0000,40.0000,70.0000,30.0000,125.0941,120.0718,126.6322,111.8406,460580743.3502,361710287.0000
122.3571,119.0150,121.6384,120.3762,0.4944,1.3086,0.8142,11.7895,25.6764,52.6652,52.5032,26.3462,11.2120,-39.3467,50.2030,0.0000,50.0000,75.0000,35.0000,125.3938,119.3204,126.3331,111.6968,459724898.6725,358877146.0000
121.9804,118.7853,121.7452,120.2939,0.7376,1.4283,0.6906,25.1319,38.4243,59.5989,55.2392,26.9098,11.0904,13.7758,70.4344,10.0000,60.0000,80.0000,40.0000,126.2165,117.7444,126.1083,111.4622,462682055.2030,363055322.0000
121.2981,118.3463,121.4993,120.0247,0.8816,1.3878,0.5062,40.1078,51.8699,58.4094,54.6979,26.9330,10.8508,41.4109,90.1685,0.0000,70.0000,85.0000,45.0000,126.7707,115.8254,125.6943,110.9982,459458682.3310,359321775.0000
120.5739,118.0173,121.2897,119.7702,1.0718,1.3576,0.2858,50.0331,63.4592,64.6954,57.1035,26.1110,10.4423,87.7909,137.0041,0.0000,80.0000,90.0000,50.0000,127.0699,114.0778,125.1893,110.8452,462035368.9946,362852851.0000
119.4428,117.4863,120.7003,119.3311,1.1289,1.1467,0.0178,65.4689,77.9472,70.6496,59.2578,23.2920,9.6772,101.4954,166.1473,10.0000,90.0000,95.0000,55.0000,127.0441,111.8415,124.3927,110.5798,465571158.6169,367072987.0000
118.3759,117.0356,119.6902,118.7084,0.9925,0.7281,-0.2644,74.8757,86.9223,65.0034,56.2002,20.1598,8.8719,122.8178,212.0792,20.0000,100.0000,100.0000,60.0000,125.3919,111.3600,122.9650,111.1062,460948704.2287,358877621.0000
117.5505,116.7927,119.0201,118.2877,0.9543,0.4418,-0.5125,93.4970,92.7627,66.3682,56.6802,16.6796,8.0242,124.4074,203.6751,30.0000,100.0000,100.0000,65.0000,124.2707,110.8303,122.1429,111.4426,475051776.7822,374234300.0000
